column,dtype,non_null_count,missing_count,missing_percent,unique_count
VendorID,int32,4305006,0,0.0,4
tpep_pickup_datetime,datetime64[us],4305006,0,0.0,1858364
tpep_dropoff_datetime,datetime64[us],4305006,0,0.0,1857475
passenger_count,float64,3109524,1195482,27.7696,10
trip_distance,float64,4305006,0,0.0,4977
RatecodeID,float64,3109524,1195482,27.7696,7
store_and_fwd_flag,object,3109524,1195482,27.7696,2
PULocationID,int32,4305006,0,0.0,260
DOLocationID,int32,4305006,0,0.0,261
payment_type,int64,4305006,0,0.0,5
fare_amount,float64,4305006,0,0.0,14265
extra,float64,4305006,0,0.0,52
mta_tax,float64,4305006,0,0.0,9
tip_amount,float64,4305006,0,0.0,4611
tolls_amount,float64,4305006,0,0.0,1466
improvement_surcharge,float64,4305006,0,0.0,4
total_amount,float64,4305006,0,0.0,22881
congestion_surcharge,float64,3109524,1195482,27.7696,4
Airport_fee,float64,3109524,1195482,27.7696,5
cbd_congestion_fee,float64,4305006,0,0.0,3
