column,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,variance,skewness,kurtosis
VendorID,4305006.0,1.8791581242860056,0.7262167727288222,1.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0,7.0,0.5273908009926659,4.531806827014729,31.476266179297795
passenger_count,3109524.0,1.3137612058951789,0.7424818179019262,0.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,9.0,0.5512792499149491,2.693276976829144,8.123933164391563
trip_distance,4305006.0,6.941184818325453,718.4367055416544,0.0,0.0,0.24,1.0,1.81,3.78,12.7,19.55,322576.17,516151.2998695459,249.00860236329598,74187.29853738671
RatecodeID,3109524.0,4.795238435207446,18.63672254188583,1.0,1.0,1.0,1.0,1.0,1.0,5.0,99.0,99.0,347.3274271032355,4.852709269942175,21.57038621259677
PULocationID,4305006.0,161.77875408303728,66.69929116658987,1.0,13.0,45.0,114.0,161.0,233.0,249.0,263.0,265.0,4448.7954421255345,-0.264916567256892,-0.898837960731774
DOLocationID,4305006.0,161.13763743883283,70.68688227987364,1.0,7.0,42.0,107.0,162.0,234.0,256.0,263.0,265.0,4996.635326448715,-0.32143115273140427,-0.9858850182784877
payment_type,4305006.0,0.8732052870541877,0.7200374651773647,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,0.5184539512590447,1.3035584930653095,4.235598685954043
fare_amount,4305006.0,22.217576974341025,19.852245762854526,-1377.1,-4.4,5.8,10.19,16.94,28.2,64.0,85.77,2157.6,394.11166182877554,2.924830433064528,101.96026951471431
extra,4305006.0,1.0721045870783918,1.75652448567524,-7.5,0.0,0.0,0.0,0.0,2.5,5.0,6.75,15.0,3.085378268776666,1.783716836547605,3.9705577642067147
mta_tax,4305006.0,0.4816981672034836,0.1277527793230276,-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,96.0,0.016320772624758187,91.50617402481706,72632.07246103027
tip_amount,4305006.0,2.8281865019468055,4.1076900786348824,-96.5,0.0,0.0,0.0,2.0,4.0,10.3,17.85,800.0,16.87311778211545,7.635922991659125,651.6929729087373
tolls_amount,4305006.0,0.5119053144176797,2.1513090184582895,-106.93,0.0,0.0,0.0,0.0,0.0,6.94,6.94,106.93,4.628130492899969,5.305698326213268,66.64269663796942
improvement_surcharge,4305006.0,0.9492546119564064,0.26551026438780095,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07049570049527996,-5.72395164081396,34.26823374427838
total_amount,4305006.0,30.876689883823627,23.789889039852593,-1382.85,-9.45,11.81,17.6,24.42,36.53,80.94,107.42,2162.35,565.9588205284986,2.5953678033235628,57.8374622923663
congestion_surcharge,3109524.0,2.166493489035621,0.9374290395252612,-2.5,-2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,0.8787732041452537,-2.8403497163389075,7.781635534899125
Airport_fee,3109524.0,0.14752089065721957,0.5238357423152267,-1.75,0.0,0.0,0.0,0.0,0.0,1.75,1.75,6.75,0.2744038849269445,3.3014277621268087,17.715209028578972
cbd_congestion_fee,4305006.0,0.527205014348412,0.3550991557832043,-0.75,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.1260954104379444,-1.1036094733044899,-0.23633934208995688
