column,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percent
VendorID,2.0,2.0,0.0,2.0,2.0,887366,20.6124
passenger_count,1.0,1.0,0.0,1.0,1.0,666155,21.4231
trip_distance,1.0,3.78,2.78,-3.17,7.949999999999999,490406,11.3915
RatecodeID,1.0,1.0,0.0,1.0,1.0,285297,9.1749
PULocationID,114.0,233.0,119.0,-64.5,411.5,0,0.0
DOLocationID,107.0,234.0,127.0,-83.5,424.5,0,0.0
payment_type,0.0,1.0,1.0,-1.5,2.5,89733,2.0844
fare_amount,10.19,28.2,18.009999999999998,-16.824999999999996,55.214999999999996,304988,7.0845
extra,0.0,2.5,2.5,-3.75,6.25,48916,1.1363
mta_tax,0.5,0.5,0.0,0.5,0.5,111978,2.6011
tip_amount,0.0,4.0,4.0,-6.0,10.0,223964,5.2024
tolls_amount,0.0,0.0,0.0,0.0,0.0,297762,6.9166
improvement_surcharge,1.0,1.0,0.0,1.0,1.0,171259,3.9781
total_amount,17.6,36.53,18.93,-10.794999999999998,64.925,390606,9.0733
congestion_surcharge,2.5,2.5,0.0,2.5,2.5,375954,12.0904
Airport_fee,0.0,0.0,0.0,0.0,0.0,277756,8.9324
cbd_congestion_fee,0.0,0.75,0.75,-1.125,1.875,0,0.0
