payment_id,trip_id,customer_id,amount,currency,payment_method,payment_status,paid_at,transaction_ref,created_at
PAY000000001,3108e984-778c-45ee-bd07-7c9e312d4ed1,CUS0003521,27.5,USD,CASH,PAID,2018-12-18 09:23:09,TXN-000000000001,2018-12-18 07:49:09
PAY000000002,fb568b64-5fe3-4978-a862-1a13a7badc9a,CUS0008846,8.5,USD,CARD,PAID,2018-11-29 02:40:07,TXN-000000000002,2018-11-29 02:15:07
PAY000000003,31b811bd-a4fd-4fff-8e8c-4984b8296f28,CUS0007134,8.5,USD,CASH,PAID,2018-11-30 02:15:05,TXN-000000000003,2018-11-30 01:49:05
PAY000000004,5a93b685-5401-4499-8a21-22e91c72109a,CUS0007220,16.0,USD,CARD,PAID,2018-12-02 14:11:03,TXN-000000000004,2018-12-02 13:52:03
PAY000000005,e028adbb-cc3a-443b-a371-1fb3940cb6f7,CUS0007254,27.0,USD,WALLET,PAID,2018-12-17 09:56:09,TXN-000000000005,2018-12-17 09:11:09
PAY000000006,eb49bc82-e76b-4619-909f-67e2e61297d8,CUS0005213,16.5,USD,WALLET,PAID,2018-12-13 20:16:09,TXN-000000000006,2018-12-13 18:41:09
PAY000000007,8a8f70ed-4138-4bba-9e7f-7fa873acee1d,CUS0002428,38.5,USD,CASH,PAID,2018-11-30 20:38:00,TXN-000000000007,2018-11-30 19:35:00
PAY000000008,77de3713-28a9-43ff-aeca-fa47a32dee6d,CUS0003113,7.0,USD,CARD,PAID,2018-11-28 20:00:24,TXN-000000000008,2018-11-28 18:59:24
PAY000000009,d9613dd1-4d19-447d-9c6e-c67ea0940139,CUS0003754,18.0,USD,CASH,PAID,2018-12-18 03:10:05,TXN-000000000009,2018-12-18 02:16:05
PAY000000010,1d82403e-86cf-4808-b5af-e8634097c501,CUS0004017,,USD,CARD,PENDING,,TXN-000000000010,2018-12-18 02:32:12
PAY000000011,0e702676-9edd-47fe-bc69-5af41d0b66ab,CUS0004384,10.5,USD,CARD,PAID,2018-12-15 07:23:09,TXN-000000000011,2018-12-15 06:28:09
PAY000000012,70975a38-1005-4a1a-92fc-6cb8e2bbfb91,CUS0003263,24.0,USD,WALLET,PAID,2018-12-16 16:45:18,TXN-000000000012,2018-12-16 15:10:18
PAY000000013,4c3327c8-1776-44d6-9657-d7da4da6ce55,CUS0008134,,USD,CARD,PENDING,,TXN-000000000013,2018-12-16 17:23:10
PAY000000014,d02c1ba5-b3b5-4ec8-8ac3-4e9b0b59e261,CUS0007823,16.5,USD,CARD,PAID,2018-12-01 04:01:07,TXN-000000000014,2018-12-01 02:46:07
PAY000000015,37e0b8a2-6f02-4c11-8010-ab62fd3340c8,CUS0001440,8.0,USD,BANK_TRANSFER,PAID,2018-11-29 10:36:55,TXN-000000000015,2018-11-29 09:49:55
PAY000000016,8aa7443d-95b2-45c5-be0d-1030da514c9a,CUS0002090,29.5,USD,CARD,PAID,2018-12-18 06:46:07,TXN-000000000016,2018-12-18 06:49:07
PAY000000017,192e99a9-9bf9-428d-a8ef-d56a60b6d128,CUS0000626,8.0,USD,WALLET,PAID,2018-12-15 17:40:08,TXN-000000000017,2018-12-15 17:36:08
PAY000000018,e0e06fd8-5d79-4aed-a442-e661f38cd149,CUS0001470,19.5,USD,WALLET,PAID,2018-11-30 10:32:03,TXN-000000000018,2018-11-30 09:26:03
PAY000000019,6a327a2d-4729-4e5c-a3ca-73f4bcaf86f4,CUS0003890,14.0,USD,CASH,PAID,2018-12-18 11:09:06,TXN-000000000019,2018-12-18 09:39:06
PAY000000020,28dc9188-6459-4c96-9ad6-ca25b245d725,CUS0001478,7.5,USD,BANK_TRANSFER,PAID,2018-11-27 23:29:22,TXN-000000000020,2018-11-27 23:15:22
PAY000000021,e2402ea1-57c8-4ec2-8625-808c416f974b,CUS0002881,11.0,USD,WALLET,PAID,2018-12-02 21:59:06,TXN-000000000021,2018-12-02 21:17:06
PAY000000022,012d8c34-7795-4385-b618-a440fd60924e,CUS0003127,9.0,USD,CARD,PAID,2018-12-18 18:49:05,TXN-000000000022,2018-12-18 18:43:05
PAY000000023,0b4c9468-3681-413e-bb4e-ebc4496b0480,CUS0004778,16.5,USD,WALLET,PAID,2018-11-29 03:00:03,TXN-000000000023,2018-11-29 01:28:03
PAY000000024,5eb601ba-594a-4433-88be-0f53f15f8496,CUS0000514,0.0,USD,CARD,CANCELLED,,TXN-000000000024,2018-12-14 16:47:05
PAY000000025,a8061885-dbbb-4bba-a162-721eb2382923,CUS0002564,7.0,USD,WALLET,PAID,2018-11-29 02:34:08,TXN-000000000025,2018-11-29 02:22:08
PAY000000026,2fb3a7e6-b4d5-4888-bece-be327802ad4c,CUS0002070,9.0,USD,CARD,PAID,2018-12-17 12:51:03,TXN-000000000026,2018-12-17 11:52:03
PAY000000027,6b3c0557-3e04-4a57-b262-83282532561f,CUS0006872,3.5,USD,CASH,PAID,2018-12-04 00:32:01,TXN-000000000027,2018-12-03 22:59:01
PAY000000028,eb982ab3-c431-4eaa-886c-bb6ab698e470,CUS0001946,22.5,USD,CASH,PAID,2018-11-30 14:35:58,TXN-000000000028,2018-11-30 13:59:58
PAY000000029,6cd42ca3-22d6-4000-8405-92718af766ef,CUS0005212,9.5,USD,WALLET,PAID,2018-11-30 18:09:02,TXN-000000000029,2018-11-30 17:37:02
PAY000000030,1c71f848-cc5d-41d9-998b-d7ead5417125,CUS0004679,16.5,USD,CARD,PAID,2018-11-27 16:23:22,TXN-000000000030,2018-11-27 16:08:22
PAY000000031,934f47da-c0e0-4527-be92-ae1969efb62b,CUS0005639,26.0,USD,WALLET,PAID,2018-11-28 21:02:07,TXN-000000000031,2018-11-28 19:48:07
