source_row_id,vendor_id,pickup_at,dropoff_at,passenger_count,trip_distance,rate_code_id,store_and_fwd_flag,pickup_location_id,dropoff_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,cbd_congestion_fee
row-00001,"Curb Mobility, LLC",2025-01-18T20:53:30Z,2025-01-18T21:00:47Z,1.0,0.97,Standard rate,N,Manhattan (Upper West Side North),Manhattan (Morningside Heights),Credit card,8.6,1.0,0.5,2.22,0.0,1.0,13.32,0.0,0.0,0.0
row-00002,"Creative Mobile Technologies, LLC",2025-01-25T11:12:51Z,2025-01-25T11:17:57Z,1.0,0.6,Standard rate,N,Manhattan (Clinton West),Manhattan (Clinton East),Cash,5.8,3.25,0.5,0.0,0.0,1.0,10.55,2.5,0.0,0.75
row-00003,"Creative Mobile Technologies, LLC",2025-01-21T15:09:31Z,2025-01-21T15:19:02Z,1.0,0.8,Standard rate,N,Manhattan (Upper East Side North),Manhattan (Upper East Side South),Credit card,9.3,2.5,0.5,3.35,0.0,1.0,16.65,2.5,0.0,0.0
row-00004,Unknown Vendor,2025-01-11T22:25:45Z,2025-01-11T22:34:22Z,2.0,1.93,Standard rate,N,Manhattan (TriBeCa/Civic Center),Manhattan (East Chelsea),Credit card,10.7,1.0,0.5,3.92,0.0,1.0,20.37,2.5,0.0,0.75
row-00005,"Curb Mobility, LLC",2025-01-04T23:37:07Z,2025-01-04T23:45:58Z,,4.44,Unknown Ratecode,,Manhattan (Kips Bay),Manhattan (Financial District South),Flex Fare trip,26.3,0.0,0.5,4.82,0.0,1.0,35.12,,,0.0
row-00006,"Creative Mobile Technologies, LLC",2025-01-29T00:31:22Z,2025-01-29T00:38:27Z,1.0,1.1,Standard rate,N,Manhattan (Lenox Hill East),Manhattan (Yorkville West),Credit card,7.9,3.5,0.5,2.58,0.0,1.0,15.48,2.5,0.0,0.0
row-00007,"Curb Mobility, LLC",2025-01-30T19:19:28Z,2025-01-30T19:30:09Z,1.0,1.33,Standard rate,N,Manhattan (Murray Hill),Manhattan (Times Sq/Theatre District),Cash,10.7,2.5,0.5,0.0,0.0,1.0,17.95,2.5,0.0,0.75
row-00008,"Curb Mobility, LLC",2025-01-23T15:59:29Z,2025-01-23T16:10:38Z,1.0,1.25,Standard rate,N,Manhattan (Central Park),Manhattan (Central Park),Credit card,11.4,0.0,0.5,0.0,0.0,1.0,16.15,2.5,0.0,0.75
row-00009,"Creative Mobile Technologies, LLC",2025-01-23T11:27:08Z,2025-01-23T11:43:02Z,1.0,1.7,Standard rate,N,Manhattan (Garment District),Manhattan (Greenwich Village North),Credit card,14.9,3.25,0.5,3.9,0.0,1.0,23.55,2.5,0.0,0.75
row-00010,"Creative Mobile Technologies, LLC",2025-01-19T15:42:39Z,2025-01-19T15:53:35Z,1.0,1.2,Standard rate,N,Manhattan (Midtown North),Manhattan (Lenox Hill West),Credit card,11.4,3.25,0.5,0.0,0.0,1.0,16.15,2.5,0.0,0.75
