vendor_id,pickup_at,dropoff_at,passenger_count,trip_distance,rate_code_id,store_and_fwd_flag,pickup_location_id,dropoff_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,cbd_congestion_fee
"Curb Mobility, LLC",2025-01-18T20:53:30Z,2025-01-18T21:00:47Z,1.0,0.97,Standard rate,N,Manhattan (Upper West Side North),Manhattan (Morningside Heights),Credit card,8.6,1.0,0.5,2.22,0.0,1.0,13.32,0.0,0.0,0.0
"Creative Mobile Technologies, LLC",2025-01-25T11:12:51Z,2025-01-25T11:17:57Z,1.0,0.6,Standard rate,N,Manhattan (Clinton West),Manhattan (Clinton East),Cash,5.8,3.25,0.5,0.0,0.0,1.0,10.55,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-21T15:09:31Z,2025-01-21T15:19:02Z,1.0,0.8,Standard rate,N,Manhattan (Upper East Side North),Manhattan (Upper East Side South),Credit card,9.3,2.5,0.5,3.35,0.0,1.0,16.65,2.5,0.0,0.0
Unknown Vendor,2025-01-11T22:25:45Z,2025-01-11T22:34:22Z,2.0,1.93,Standard rate,N,Manhattan (TriBeCa/Civic Center),Manhattan (East Chelsea),Credit card,10.7,1.0,0.5,3.92,0.0,1.0,20.37,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-04T23:37:07Z,2025-01-04T23:45:58Z,,4.44,Unknown Ratecode,,Manhattan (Kips Bay),Manhattan (Financial District South),Flex Fare trip,26.3,0.0,0.5,4.82,0.0,1.0,35.12,,,0.0
"Creative Mobile Technologies, LLC",2025-01-29T00:31:22Z,2025-01-29T00:38:27Z,1.0,1.1,Standard rate,N,Manhattan (Lenox Hill East),Manhattan (Yorkville West),Credit card,7.9,3.5,0.5,2.58,0.0,1.0,15.48,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-30T19:19:28Z,2025-01-30T19:30:09Z,1.0,1.33,Standard rate,N,Manhattan (Murray Hill),Manhattan (Times Sq/Theatre District),Cash,10.7,2.5,0.5,0.0,0.0,1.0,17.95,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-23T15:59:29Z,2025-01-23T16:10:38Z,1.0,1.25,Standard rate,N,Manhattan (Central Park),Manhattan (Central Park),Credit card,11.4,0.0,0.5,0.0,0.0,1.0,16.15,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-23T11:27:08Z,2025-01-23T11:43:02Z,1.0,1.7,Standard rate,N,Manhattan (Garment District),Manhattan (Greenwich Village North),Credit card,14.9,3.25,0.5,3.9,0.0,1.0,23.55,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-19T15:42:39Z,2025-01-19T15:53:35Z,1.0,1.2,Standard rate,N,Manhattan (Midtown North),Manhattan (Lenox Hill West),Credit card,11.4,3.25,0.5,0.0,0.0,1.0,16.15,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-03T23:09:39Z,2025-01-03T23:32:00Z,1.0,5.16,Standard rate,N,Manhattan (SoHo),Manhattan (Upper West Side South),Credit card,26.8,1.0,0.5,6.36,0.0,1.0,38.16,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-09T14:48:58Z,2025-01-09T14:55:43Z,1.0,0.48,Standard rate,N,Manhattan (Midtown Center),Manhattan (Times Sq/Theatre District),Credit card,7.9,0.0,0.5,2.53,0.0,1.0,15.18,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-30T15:24:04Z,2025-01-30T15:50:52Z,1.0,2.5,Standard rate,N,Manhattan (West Village),Manhattan (Midtown East),Credit card,21.2,3.25,0.5,6.5,0.0,1.0,32.45,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-17T06:53:47Z,2025-01-17T07:00:18Z,1.0,2.8,Standard rate,N,Brooklyn (Carroll Gardens),Manhattan (World Trade Center),Credit card,12.8,3.25,0.5,4.41,6.94,1.0,28.9,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-23T07:38:28Z,2025-01-23T07:47:08Z,1.0,1.12,Standard rate,N,Manhattan (Upper East Side North),Manhattan (Yorkville East),Credit card,9.3,0.0,0.5,2.66,0.0,1.0,15.96,2.5,0.0,0.0
"Creative Mobile Technologies, LLC",2025-01-20T08:37:43Z,2025-01-20T08:43:21Z,1.0,-2.5,Standard rate,N,Manhattan (Upper East Side North),Manhattan (Central Park),Credit card,6.5,2.5,0.5,3.15,0.0,1.0,13.65,2.5,0.0,0.0
"Creative Mobile Technologies, LLC",2025-01-21T19:47:15Z,2025-01-21T19:52:58Z,1.0,0.8,Standard rate,N,Manhattan (Times Sq/Theatre District),Manhattan (Murray Hill),Credit card,7.2,5.75,0.5,1.5,0.0,1.0,15.95,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-27T19:07:18Z,2025-01-27T19:24:08Z,1.0,3.18,Standard rate,N,Manhattan (Midtown Center),Manhattan (Upper West Side North),Credit card,18.4,2.5,0.5,5.13,0.0,1.0,30.78,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-30T14:10:32Z,2025-01-30T14:25:49Z,1.0,1.69,Standard rate,N,Manhattan (East Chelsea),Manhattan (Lincoln Square East),Credit card,14.2,0.0,0.5,3.79,0.0,1.0,22.74,2.5,0.0,0.75
Unknown Vendor,2025-01-07T20:54:56Z,2025-01-07T21:16:15Z,1.0,4.05,Standard rate,N,Manhattan (East Chelsea),Manhattan (Upper East Side North),Credit card,22.6,1.0,0.5,5.67,0.0,1.0,34.02,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-12T16:39:32Z,2025-01-12T16:51:35Z,1.0,1.6,Standard rate,N,Manhattan (West Village),Manhattan (Midtown South),Credit card,10.7,3.25,0.5,3.05,0.0,1.0,18.5,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-25T12:54:39Z,2025-01-25T13:01:14Z,1.0,1.38,Standard rate,N,Manhattan (Clinton West),Manhattan (West Chelsea/Hudson Yards),Credit card,9.3,0.0,0.5,2.66,0.0,1.0,16.71,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-29T10:36:42Z,2025-01-29T11:27:00Z,1.0,31.2,Null/Unknown,N,Queens (Far Rockaway),Queens (Jamaica),Credit card,37.5,0.0,0.5,0.0,0.0,0.0,38.0,0.0,0.0,0.0
"Curb Mobility, LLC",2025-01-01T08:53:07Z,2025-01-01T09:00:10Z,2.0,0.98,Standard rate,N,Manhattan (Times Sq/Theatre District),Manhattan (Midtown Center),Cash,8.6,0.0,0.5,0.0,0.0,1.0,12.6,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-15T12:26:06Z,2025-01-15T12:34:59Z,1.0,0.89,Standard rate,N,Manhattan (Midtown North),Manhattan (Times Sq/Theatre District),Credit card,9.3,0.0,0.5,2.81,0.0,1.0,16.86,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-17T19:37:10Z,2025-01-17T19:47:23Z,1.0,1.84,Standard rate,N,Manhattan (West Chelsea/Hudson Yards),Manhattan (Hudson Sq),Credit card,11.4,2.5,0.5,3.73,0.0,1.0,22.38,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-07T22:18:53Z,2025-01-07T22:33:52Z,,1.8,Unknown Ratecode,,Manhattan (Midtown North),Manhattan (Penn Station/Madison Sq West),Flex Fare trip,-4.75,0.0,0.5,0.0,0.0,1.0,3.0,,,0.75
"Curb Mobility, LLC",2025-01-22T14:31:46Z,2025-01-22T14:52:06Z,1.0,1.18,Standard rate,N,Manhattan (Upper East Side South),Manhattan (Upper East Side North),Credit card,17.0,0.0,0.5,2.0,0.0,1.0,23.75,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-22T21:04:20Z,2025-01-22T21:16:07Z,1.0,1.75,Standard rate,N,Manhattan (Lenox Hill East),Manhattan (Upper East Side North),Credit card,12.8,1.0,0.5,3.56,0.0,1.0,21.36,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-24T01:43:31Z,2025-01-24T01:59:57Z,1.0,4.15,Standard rate,N,Manhattan (Clinton West),Manhattan (Central Harlem),Cash,20.5,1.0,0.5,0.0,0.0,1.0,26.25,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-10T11:19:03Z,2025-01-10T11:21:14Z,1.0,0.48,Standard rate,N,Manhattan (East Chelsea),Manhattan (Clinton West),Credit card,5.1,0.0,0.5,2.46,0.0,1.0,12.31,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-27T17:47:18Z,2025-01-27T17:58:14Z,1.0,2.2,Standard rate,N,Manhattan (Lincoln Square East),Manhattan (Upper West Side North),Credit card,12.8,5.0,0.5,1.0,0.0,1.0,20.3,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-26T13:38:01Z,2025-01-26T13:51:50Z,1.0,1.41,Standard rate,N,Manhattan (Gramercy),Manhattan (Lower East Side),Credit card,13.5,0.0,0.5,3.65,0.0,1.0,21.9,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-20T16:55:53Z,2025-01-20T17:15:44Z,1.0,8.15,Standard rate,N,Queens (LaGuardia Airport),Manhattan (Yorkville West),Credit card,33.1,5.0,0.5,9.96,6.94,1.0,61.5,2.5,1.75,0.75
"Curb Mobility, LLC",2025-01-17T13:10:33Z,2025-01-17T13:26:45Z,2.0,2.37,Standard rate,N,Manhattan (Clinton East),Manhattan (Upper East Side South),Credit card,17.0,0.0,0.5,2.0,0.0,1.0,23.75,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-19T22:48:11Z,2025-01-19T23:05:08Z,,3.2,Unknown Ratecode,,Manhattan (Upper East Side North),Manhattan (Manhattanville),Flex Fare trip,-1.5,0.0,0.5,0.0,0.0,1.0,2.0,,,0.0
"Curb Mobility, LLC",2025-01-14T04:47:50Z,2025-01-14T04:57:12Z,1.0,2.39,Standard rate,N,Manhattan (Garment District),Manhattan (Kips Bay),Credit card,13.5,1.0,0.5,2.0,0.0,1.0,21.25,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-12T17:37:30Z,2025-01-12T17:57:16Z,1.0,2.4,Standard rate,N,Manhattan (Little Italy/NoLiTa),Manhattan (Alphabet City),Credit card,16.3,3.25,0.5,4.2,0.0,1.0,25.25,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-21T12:52:52Z,2025-01-21T14:01:53Z,4.0,18.67,JFK,N,Queens (JFK Airport),Manhattan (Times Sq/Theatre District),Cash,70.0,0.0,0.5,0.0,6.94,1.0,83.44,2.5,1.75,0.75
