source_row_id,vendor_id,pickup_at,dropoff_at,passenger_count,trip_distance,rate_code_id,store_and_fwd_flag,pickup_location_id,dropoff_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,cbd_congestion_fee
row-001,1,2025-12-01T00:37:08Z,2025-12-01T00:51:10Z,1,2.4,1,N,140,48,1,14.2,4.25,0.5,4,0,1,23.95,2.5,0,0.75
row-002,2,2025-12-01T00:03:54Z,2025-12-01T00:19:18Z,1,8.37,1,N,138,262,1,33.1,6,0.5,7.77,6.94,1,59.56,2.5,1.75,0
row-003,2,2025-12-01T00:40:50Z,2025-12-01T01:06:54Z,1,15.26,1,N,132,255,1,57.6,1,0.5,12.02,0,1,73.87,0,1.75,0
row-004,1,2025-12-01T00:21:30Z,2025-12-01T00:49:35Z,2,18.4,2,N,132,79,1,70,5,0.5,10,0,1,86.5,2.5,1.75,0.75
row-005,2,2025-12-01T00:00:24Z,2025-12-01T00:03:34Z,1,0.52,1,N,239,238,1,5.8,1,0.5,1.62,0,1,12.42,2.5,0,0
row-006,1,2025-12-01T00:11:36Z,2025-12-01T00:33:17Z,1,0,1,N,138,82,1,16.3,7.75,0.5,5.1,0,1,30.65,0,1.75,0
row-007,2,2025-11-30T23:59:23Z,2025-12-01T00:12:43Z,1,2.59,1,N,142,263,1,14.9,1,0.5,3.98,0,1,23.88,2.5,0,0
row-008,2,2025-12-01T00:18:25Z,2025-12-01T00:30:09Z,1,2.22,1,N,141,238,1,13.5,1,0.5,2,0,1,20.5,2.5,0,0
row-009,2,2025-12-01T00:54:33Z,2025-12-01T01:22:25Z,1,9.06,1,N,48,106,1,38,1,0.5,11.53,13.88,1,69.16,2.5,0,0.75
row-010,2,2025-12-01T00:28:35Z,2025-12-01T00:59:37Z,1,18.02,1,N,132,145,1,69.5,1,0.5,14.75,0,1,88.5,0,1.75,0
row-011,2,2025-12-01T00:47:23Z,2025-12-01T01:12:23Z,1,15.98,1,N,132,80,1,60.4,1,0.5,9,0,1,73.65,0,1.75,0
row-012,2,2025-12-01T00:28:32Z,2025-12-01T00:37:16Z,1,1.73,1,N,229,50,1,11.4,1,0.5,5.14,0,1,22.29,2.5,0,0.75
row-013,1,2025-12-01T00:07:12Z,2025-12-01T00:26:23Z,1,4.3,1,N,114,141,1,19.8,4.25,0.5,2,0,1,27.55,2.5,0,0.75
row-014,2,2025-12-01T00:59:48Z,2025-12-01T01:09:00Z,2,1.79,1,N,79,261,1,11.4,1,0.5,2.85,0,1,20,2.5,0,0.75
row-015,2,2025-12-01T00:39:30Z,2025-12-01T00:58:58Z,5,12.54,1,N,132,252,1,47.8,1,0.5,15.62,0,1,67.67,0,1.75,0
row-016,2,2025-12-01T00:16:09Z,2025-12-01T00:27:26Z,3,4.14,1,N,138,7,1,19.1,6,0.5,5.67,0,1,34.02,0,1.75,0
row-017,2,2025-12-01T00:46:10Z,2025-12-01T00:48:45Z,1,0.33,1,N,263,236,1,4.4,1,0.5,3.04,0,1,13.19,2.5,0,0.75
row-018,2,2025-12-01T00:38:47Z,2025-12-01T01:09:13Z,1,19.13,2,N,132,113,1,70,0,0.5,0,0,1,76.5,2.5,1.75,0.75
row-019,2,2025-12-01T00:49:12Z,2025-12-01T01:17:25Z,1,18.07,2,N,132,90,1,70,0,0.5,16.34,6.94,1,99.78,2.5,1.75,0.75
row-020,2,2025-12-01T00:12:58Z,2025-12-01T00:32:48Z,1,10.54,1,N,138,79,1,41.5,6,0.5,10.45,0,1,64.45,2.5,1.75,0.75
row-021,2,2025-12-01T00:02:08Z,2025-12-01T00:10:06Z,1,1.14,1,N,74,41,2,10,1,0.5,0,0,1,12.5,0,0,0
row-022,1,2025-12-01T00:04:11Z,2025-12-01T00:19:18Z,1,8.5,1,N,138,170,1,33.1,11,0.5,8,6.94,1,60.54,2.5,1.75,0.75
row-023,2,2025-12-01T00:08:34Z,2025-12-01T00:18:32Z,1,1.66,1,N,142,164,1,11.4,1,0.5,2,0,1,19.15,2.5,0,0.75
row-024,1,2025-12-01T00:12:51Z,2025-12-01T00:20:46Z,1,3.3,1,N,138,223,1,14.9,7.75,0.5,4.8,0,1,28.95,0,1.75,0
row-025,1,2025-12-01T00:01:17Z,2025-12-01T00:09:09Z,1,1.4,1,N,186,233,2,8.6,4.25,0.5,0,0,1,14.35,2.5,0,0.75
row-026,1,2025-12-01T00:19:22Z,2025-12-01T00:29:27Z,1,2.2,1,N,164,79,1,11.4,4.25,0.5,3.45,0,1,20.6,2.5,0,0.75
row-027,2,2025-12-01T00:19:14Z,2025-12-01T00:53:54Z,1,18.17,2,N,132,114,1,70,0,0.5,14.95,0,1,91.45,2.5,1.75,0.75
row-028,2,2025-12-01T00:04:09Z,2025-12-01T00:09:28Z,1,0.86,1,N,142,230,1,7.2,1,0.5,3.88,0,1,16.83,2.5,0,0.75
row-029,2,2025-12-01T00:24:41Z,2025-12-01T00:31:25Z,1,1.38,1,N,166,42,1,9.3,1,0.5,2.36,0,1,14.16,0,0,0
row-030,2,2025-12-01T00:12:18Z,2025-12-01T00:32:57Z,1,7.96,1,N,138,166,1,34.5,6,0.5,5,6.94,1,55.69,0,1.75,0
row-031,1,2025-12-01T00:39:45Z,2025-12-01T00:50:45Z,2,1.8,1,N,68,249,1,11.4,4.25,0.5,3.45,0,1,20.6,2.5,0,0.75
row-032,1,2025-12-01T00:52:17Z,2025-12-01T00:57:00Z,1,0.7,1,N,249,125,1,6.5,4.25,0.5,2.45,0,1,14.7,2.5,0,0.75
row-033,2,2025-12-01T00:47:02Z,2025-12-01T00:56:45Z,2,2.67,1,N,249,50,1,13.5,1,0.5,3.85,0,1,23.1,2.5,0,0.75
row-034,2,2025-12-01T00:04:34Z,2025-12-01T00:16:14Z,1,1.9,1,N,68,107,1,12.8,1,0.5,4.64,0,1,23.19,2.5,0,0.75
row-035,1,2025-12-01T00:43:56Z,2025-12-01T01:14:43Z,1,12.6,1,N,132,62,1,49.2,2.75,0.5,5,0,1,58.45,0,1.75,0
row-036,1,2025-12-01T00:12:51Z,2025-12-01T00:44:52Z,1,11.5,1,N,138,164,1,47.8,11,0.5,10,6.94,1,77.24,2.5,1.75,0.75
row-037,1,2025-12-01T00:11:11Z,2025-12-01T00:20:58Z,1,2.3,1,N,79,161,1,11.4,4.25,0.5,3.45,0,1,20.6,2.5,0,0.75
row-038,2,2025-12-01T00:14:52Z,2025-12-01T00:33:54Z,1,7.67,1,N,138,42,1,33.1,6,0.5,14.26,6.94,1,63.55,0,1.75,0
row-039,2,2025-12-01T00:53:40Z,2025-12-01T01:13:50Z,1,12.41,1,N,132,64,1,46.4,1,0.5,10.13,0,1,60.78,0,1.75,0
row-040,2,2025-12-01T00:44:16Z,2025-12-01T01:21:54Z,1,17.63,2,N,132,48,1,70,0,0.5,10,6.94,1,93.44,2.5,1.75,0.75
row-041,2,2025-12-01T00:12:04Z,2025-12-01T00:21:21Z,1,1.9,1,N,186,113,1,11.4,1,0.5,3.43,0,1,20.58,2.5,0,0.75
row-042,2,2025-12-01T00:42:06Z,2025-12-01T00:58:37Z,1,4.08,1,N,186,262,1,20.5,1,0.5,0,0,1,26.25,2.5,0,0.75
row-043,1,2025-12-01T00:44:04Z,2025-12-01T00:48:51Z,1,0.9,1,N,162,233,1,7.2,4.25,0.5,2.55,0,1,15.5,2.5,0,0.75
row-044,1,2025-12-01T00:11:44Z,2025-12-01T00:22:55Z,1,2.4,1,N,239,229,1,14.2,4.25,0.5,3.95,0,1,23.9,2.5,0,0.75
row-045,2,2025-12-01T00:02:46Z,2025-12-01T00:16:07Z,1,2.26,1,N,68,79,1,14.2,1,0.5,3.99,0,1,23.94,2.5,0,0.75
row-046,2,2025-12-01T00:07:23Z,2025-12-01T00:07:58Z,1,0.04,1,N,132,132,4,-3,-1,-0.5,0,0,-1,-7.25,0,-1.75,0
row-047,2,2025-12-01T00:07:23Z,2025-12-01T00:07:58Z,1,0.04,1,N,132,132,4,3,1,0.5,0,0,1,7.25,0,1.75,0
row-048,2,2025-12-01T00:10:04Z,2025-12-01T00:37:46Z,1,17.54,2,N,132,74,1,70,0,0.5,15.69,6.94,1,95.88,0,1.75,0
row-049,1,2025-12-01T00:34:59Z,2025-12-01T00:39:23Z,1,0.8,1,N,114,158,1,5.8,4.25,0.5,1.73,0,1,13.28,2.5,0,0.75
row-050,1,2025-12-01T00:09:28Z,2025-12-01T00:13:43Z,1,0.9,1,N,68,158,1,6.5,4.25,0.5,2.45,0,1,14.7,2.5,0,0.75
row-051,1,2025-12-01T00:22:24Z,2025-12-01T00:36:22Z,1,6.4,1,N,132,197,2,26.1,2.75,0.5,0,0,1,30.35,0,1.75,0
row-052,2,2025-12-01T00:45:54Z,2025-12-01T01:00:32Z,1,4.12,1,N,263,234,1,19.8,1,0.5,2,0,1,27.55,2.5,0,0.75
row-053,1,2025-12-01T00:03:54Z,2025-12-01T00:38:54Z,1,13.5,1,N,161,165,4,53.4,4.25,0.5,0,0,1,59.15,2.5,0,0.75
row-054,2,2025-12-01T00:04:28Z,2025-12-01T00:42:07Z,1,19.47,1,N,132,181,1,75.8,1,0.5,15.66,0,1,95.71,0,1.75,0
row-055,1,2025-12-01T00:24:08Z,2025-12-01T00:33:29Z,1,2.2,1,N,234,48,1,10.7,4.25,0.5,4.1,0,1,20.55,2.5,0,0.75
row-056,1,2025-12-01T00:36:55Z,2025-12-01T00:53:28Z,1,4.2,1,N,230,87,1,18.4,4.25,0.5,0,0,1,24.15,2.5,0,0.75
row-057,2,2025-12-01T00:03:54Z,2025-12-01T00:24:25Z,1,3.88,1,N,140,151,1,22.6,1,0.5,5.52,0,1,33.12,2.5,0,0
row-058,2,2025-12-01T00:38:04Z,2025-12-01T00:45:28Z,2,1.27,1,N,239,163,2,10,1,0.5,0,0,1,15.75,2.5,0,0.75
row-059,2,2025-12-01T00:09:05Z,2025-12-01T00:14:04Z,1,0.74,1,N,161,48,1,6.5,1,0.5,2.45,0,1,14.7,2.5,0,0.75
row-060,2,2025-12-01T00:20:33Z,2025-12-01T00:37:38Z,2,8.79,4,N,132,265,1,40.8,1,0.5,8.66,0,1,53.71,0,1.75,0
row-061,2,2025-12-01T00:09:16Z,2025-12-01T00:22:41Z,2,2.64,1,N,142,262,1,15.6,1,0.5,3,0,1,23.6,2.5,0,0
row-062,2,2025-12-01T00:34:01Z,2025-12-01T00:39:56Z,1,1.37,1,N,249,148,1,8.6,1,0.5,2,0,1,16.35,2.5,0,0.75
row-063,2,2025-12-01T00:40:24Z,2025-12-01T00:52:17Z,1,3.36,1,N,163,7,1,17,1,0.5,4.55,0,1,27.3,2.5,0,0.75
row-064,2,2025-12-01T00:12:35Z,2025-12-01T00:29:04Z,1,5.08,1,N,186,52,1,22.6,1,0.5,8.51,0,1,36.86,2.5,0,0.75
